Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,Query prompt,Query interface,SG Mandatory,,ADIT exists,User full view,Metabolomics,Metabolites,SENCI,Fragment library,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfNamelFlg,Sf category flag,Sf pointer,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,Entry completeness,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,NEF equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
100,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Previous_BMRB_entry_used,,,,,,Y,H,,B,,,N,,,,,,Previous BMRB entry used,VARCHAR(15),,Y,,,N,N,,,,,,,,,N,100,,,,,,0,15345,Enter the accession number of the BMRB entry used.,A BMRB accession numer (15435) must be entered.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,?,0,Entry_interview,Previous_BMRB_entry_used,?,?,N,,Y,N,code,,,,,The BMRB accession code for the BMRB entry with the chemical shift data used in the determination of the deposited coordinate file.,,N,,?,,,,,,,,?,?,?
110,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Previous_BMRB_entry_owner,,,,,,Y,H,,B,,,N,,,,,,Previous BMRB entry owner,BOOLEAN,,Y,,,N,N,,,,,,,,,N,110,,,,,,0,no,Is the BMRB entry yours,Select yes or no depending on whether you are an owner of the BMRB entry.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Previous_BMRB_entry_owner,?,?,N,,Y,N,yes_no,,,,,A flag indicating that the BMRB entry from which chemical shift data was used to determine a structure was (yes) taken from another research group or was not (no).,,N,,?,,,,,,,,?,?,?
120,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Structural_genomics,,,,,,Y,H,,M,,,N,,,,,,Structural genomics,BOOLEAN,,Y,,,N,N,,,,,,,,,N,120,,,,,,0,no,This submission is from a structural genomics project,Check the box provided$ if the deposition is originating from one of the structural genomics projects funded around the world.,14070,10,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Structural_genomics,?,?,N,,Y,N,yes_no,,,,,Flag indicating if the deposition originates from a structural genomics project.,,N,,?,,,,,,,,?,?,?
130,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Ligands,,,,,,Y,H,,M,,,N,,,,,,Ligands,BOOLEAN,,Y,,,N,N,,,,,,,,,N,130,,,,,,0,yes,The system contains a metal and/or a non-polymeric organic ligand,Check this box if the molecular system that was studied contained ligands either metal ions or organic compounds.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Ligands,?,?,N,,Y,N,yes_no,,,,,Flag indicating the presence of ligands$ metal ions$ or other small molecules in the molecular system studied.,,N,,?,,,,,,,,?,?,?
140,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Non_standard_residues,,,,,,Y,H,,M,,,N,,,,,,Non standard residues,BOOLEAN,,Y,,,N,N,,,,,,,,,N,140,,,,,,0,no,At least one biopolymer contains a non-standard residue,Check this box if any of the biopolymers in the molecular system studied contained non-standard amino acid residues or nucleotides. This includes chemically modified residues such as phosphorylated amino acids.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Non_standard_residues,?,?,N,,Y,N,yes_no,,,,,Flag indicating the presence of non-standard residues in one or more biopolymers in the molecular system studied.,,N,,?,,,,,,,,?,?,?
150,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Constraints,,,,,,Y,H,,M,,,N,,,,,,Constraints,BOOLEAN,,Y,,,N,N,,,,,,,,,N,150,,,,,,0,yes,Structural constraints (restraint data),Check this box$ if you are depositing constraints used to calculate a three-dimensional structure for the molecular assembly.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Constraints,?,?,N,,Y,N,yes_no,,,,,Flag indicating that structural constraints are being deposited.,,N,,?,,,,,,,,?,?,?
160,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Assigned_chem_shifts,,,,,,Y,H,,B,,,N,,,,,,Assigned chem shifts,BOOLEAN,,Y,,,N,N,,,,,,,,,N,160,,,,,,0,yes,Assigned NMR chemical shifts,Check this box$ if you are depositing one or more sets of assigned chemical shifts for the reported molecular assembly.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Assigned_chem_shifts,?,?,N,,Y,N,yes_no,,,,,Flag indicating that assigned chemical shifts are being deposited.,,N,,?,,,,,,,,?,?,?
170,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Coupling_constants,,,,,,Y,H,,B,,,N,,,,,,Coupling constants,BOOLEAN,,Y,,,N,N,,,,,,,,,N,170,,,,,,0,no,Scalar coupling constants,Check this box$ if you are submitting one or more sets of scalar coupling (homonuclear or heteronuclear) values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Coupling_constants,?,?,N,,Y,N,yes_no,,,,,Flag indicating that scalar coupling constants are being deposited.,,N,,?,,,,,,,,?,?,?
180,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Chem_shift_isotope_effect,,,,,,Y,H,,B,,,N,,,,,,Chem shift isotope effect,BOOLEAN,,Y,,,N,N,,,,,,,,,N,180,,,,,,0,no,Chemical shift isotope effect,Check this box$ if you are submitting one or more sets of chemical shift isotope effect values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Chem_shift_isotope_effect,?,?,N,,Y,N,yes_no,,,,,Flag indicating that chemical shift isotope data are being deposited.,,N,,?,,,,,,,,?,?,?
190,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Chem_shift_perturbation,,,,,,Y,H,,M,,,N,,,,,,Chem shift perturbation,BOOLEAN,,Y,,,N,N,,,,,,,,,N,190,,,,,,0,no,Chemical shift perturbation data,Check this box$ if you are submitting one or more sets of chemical shift perturbation values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Chem_shift_perturbation,?,?,N,,Y,N,yes_no,,,,,Flag indicating that chemical shift perturbation are being deposited.,,N,,?,,,,,,,,?,?,?
200,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Auto_relaxation,,,,,,Y,H,,M,,,N,,,,,,Auto relaxation,BOOLEAN,,Y,,,N,N,,,,,,,,,N,200,,,,,,0,no,Auto relaxation parameters,Check this box$ if you are submitting one or more sets of auto relaxation values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Auto_relaxation,?,?,N,,Y,N,yes_no,,,,,Flag indicating that auto relaxation data are being deposited.,,N,,?,,,,,,,,?,?,?
210,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Tensor,,,,,,Y,H,,B,,,N,,,,,,Tensor,BOOLEAN,,Y,,,N,N,,,,,,,,,N,210,,,,,,0,yes,Tensor data,Check this box$ if you are submitting one or more sets of tensor data.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Tensor,?,?,N,,Y,N,yes_no,,,,,Flag indicating that tensor data are being deposited.,,N,,?,,,,,,,,?,?,?
220,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Interatomic_distance,,,,,,Y,H,,M,,,N,,,,,,Interatomic distance,BOOLEAN,,Y,,,N,N,,,,,,,,,N,220,,,,,,0,yes,Interatomic distance data,Check this box$ if you are submitting one or more sets of interatomic distance data.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Interatomic_distance,?,?,N,,Y,N,yes_no,,,,,Flag indicating that interatomic distance data are being deposited.,,N,,?,,,,,,,,?,?,?
230,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Chem_shift_anisotropy,,,,,,Y,H,,M,,,N,,,,,,Chem shift anisotropy,BOOLEAN,,Y,,,N,N,,,,,,,,,N,230,,,,,,0,yes,Chemical shift anisotropy,Check this box$ if you are submitting one or more sets of chemical shift anisotropy values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Chem_shift_anisotropy,?,?,N,,Y,N,yes_no,,,,,Flag indicating that chemical shift anisotropy values are being deposited.,,N,,?,,,,,,,,?,?,?
240,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_NOEs,,,,,,Y,H,,M,,,N,,,,,,Heteronucl NOEs,BOOLEAN,,Y,,,N,N,,,,,,,,,N,240,,,,,,0,yes,Heteronuclear NOEs,If you are depositing one or more sets of heteronuclear NOE data$ check this box.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Heteronucl_NOEs,?,?,N,,Y,N,yes_no,,,,,Flag indicating that heteronuclear NOEs are being deposited.,,N,,?,,,,,,,,?,?,?
250,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T1_relaxation,,,,,,Y,H,,M,,,N,,,,,,Heteronucl T1 relaxation,BOOLEAN,,Y,,,N,N,,,,,,,,,N,250,,,,,,0,yes,T1 (R1) NMR relaxation data,If you are depositing T1 (R1) relaxation values$ check this box.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Heteronucl_T1_relaxation,?,?,N,,Y,N,yes_no,,,,,Flag indicating that heteronuclear T1 relaxation values are being deposited.,,N,,?,,,,,,,,?,?,?
260,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T2_relaxation,,,,,,Y,H,,M,,,N,,,,,,Heteronucl T2 relaxation,BOOLEAN,,Y,,,N,N,,,,,,,,,N,260,,,,,,0,no,T2 (R2) NMR relaxation data,Check this box$ if you are depositing one or more sets of T2 (R2) relaxation data.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Heteronucl_T2_relaxation,?,?,N,,Y,N,yes_no,,,,,Flag indicating that heteronuclear T2 relaxation values are being deposited.,,N,,?,,,,,,,,?,?,?
270,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T1rho_relaxation,,,,,,Y,H,,M,,,N,,,,,,Heteronucl T1rho relaxation,BOOLEAN,,Y,,,N,N,,,,,,,,,N,270,,,,,,0,yes,T1rho (R1rho) NMR relaxation data,Check this box$ if you are depositing files containing T1rho (R1rho) relaxation data.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Heteronucl_T1rho_relaxation,?,?,N,,Y,N,yes_no,,,,,Flag indicating that heteronuclear T1rho relaxation values are being deposited.,,N,,?,,,,,,,,?,?,?
280,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Order_parameters,,,,,,Y,H,,M,,,N,,,,,,Order parameters,BOOLEAN,,Y,,,N,N,,,,,,,,,N,280,,,,,,0,yes,Order parameters,If you are depositing order parameter values$ check this box.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Order_parameters,?,?,N,,Y,N,yes_no,,,,,Flag indicating that order parameter values are being deposited.,,N,,?,,,,,,,,?,?,?
290,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Dynamics_trajectory,,,,,,Y,H,,M,,,N,,,,,,Dynamics trajectory,BOOLEAN,,Y,,,N,N,,,,,,,,,N,290,,,,,,0,yes,Dynamics trajectory file,Check this box if you are depositing a molecular dynamics trajectory file.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Dynamics_trajectory,?,?,N,,Y,N,yes_no,,,,,Flag indicating that a molecular dynamics trajectory file is being deposited.,,N,,?,,,,,,,,?,?,?
300,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Movie,,,,,,Y,H,,M,,,N,,,,,,Movie,BOOLEAN,,Y,,,N,N,,,,,,,,,N,300,,,,,,0,yes,Dynamics movie file,If you are depositing a movie file that demonstrates the dynamical character or other features of a macromolecular system$ check this box.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Movie,?,?,N,,Y,N,yes_no,,,,,Flag indicating that a movie file is being deposited.,,N,,?,,,,,,,,?,?,?
310,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Image_file,,,,,,Y,H,,B,,,N,,,,,,Image file,BOOLEAN,,Y,,,N,N,,,,,,,,,N,310,,,,,,0,no,Image file (molecule structure),Check this box if you are depositing an image file of a molecular structure or other image relevant to your deposition.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Image_file,?,?,N,,Y,N,yes_no,,,,,Flag indicating that an image file is being deposited.,,N,,?,,,,,,,,?,?,?
320,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Residual_dipolar_couplings,,,,,,Y,H,,B,,,N,,,,,,Residual dipolar couplings,BOOLEAN,,Y,,,N,N,,,,,,,,,N,320,,,,,,0,no,Residual dipolar couplings,Check this box$ if you are depositing residual dipolar coupling values that are not constraints for a structure calculation.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Residual_dipolar_couplings,?,?,N,,Y,N,yes_no,,,,,Flag indicating that residual dipolar coupling values are being deposited.,,N,,?,,,,,,,,?,?,?
330,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.H_exchange_rate,,,,,,Y,H,,M,,,N,,,,,,H exchange rate,BOOLEAN,,Y,,,N,N,,,,,,,,,N,330,,,,,,0,no,Hydrogen exchange rates,If you are submitting hydrogen exchange rate values$ check this box.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,H_exchange_rate,?,?,N,,Y,N,yes_no,,,,,Flag indicating that hydrogen exchange values are being deposited.,,N,,?,,,,,,,,?,?,?
340,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.H_exchange_protection_factors,,,,,,Y,H,,M,,,N,,,,,,H exchange protection factors,BOOLEAN,,Y,,,N,N,,,,,,,,,N,340,,,,,,0,no,Hydrogen exchange protection data,If you are depositing hydrogen exchange protection factor data$ check this box.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,H_exchange_protection_factors,?,?,N,,Y,N,yes_no,,,,,Flag indicating that hydrogen exchange protection factor values are being deposited.,,N,,?,,,,,,,,?,?,?
350,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Chem_rate_constants,,,,,,Y,H,,M,,,N,,,,,,Chem rate constants,BOOLEAN,,Y,,,N,N,,,,,,,,,N,350,,,,,,0,no,Chemical rate constants,Check this box$ if you are depositing chemical rate constant values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Chem_rate_constants,?,?,N,,Y,N,yes_no,,,,,Flag indicating that chemical rate constant values are being deposited.,,N,,?,,,,,,,,?,?,?
360,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Spectral_peak_lists,,,,,,Y,H,,B,,,N,,,,,,Spectral peak lists,BOOLEAN,,Y,,,N,N,,,,,,,,,N,360,,,,,,0,no,Spectral peak lists,Check this box$ if you are depositing files containing peak information extracted from NMR spectra.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Spectral_peak_lists,?,?,N,,Y,N,yes_no,,,,,Flag indicating that spectral peak lists are being deposited.,,N,,?,,,,,,,,?,?,?
370,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Dipole_dipole_couplings,,,,,,Y,H,,M,,,N,,,,,,Dipole dipole couplings,BOOLEAN,,Y,,,N,N,,,,,,,,,N,370,,,,,,0,no,Dipole-dipole couplings,Check this box$ if you are depositing dipole-dipole coupling values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Dipole_dipole_couplings,?,?,N,,Y,N,yes_no,,,,,Flag indicating that dipole-dipole coupling values are being deposited.,,N,,?,,,,,,,,?,?,?
380,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Quadrupolar_couplings,,,,,,Y,H,,M,,,N,,,,,,Quadrupolar couplings,BOOLEAN,,Y,,,N,N,,,,,,,,,N,380,,,,,,0,no,Quadrupolar couplings,Check this box$ if you are submitting one or more sets of quadrupolar coupling values.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Quadrupolar_couplings,?,?,N,,Y,N,yes_no,,,,,Flag indicating that quadrupolar coupling values are being deposited.,,N,,?,,,,,,,,?,?,?
390,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Homonucl_NOEs,,,,,,Y,H,,M,,,N,,,,,,Homonucl NOEs,BOOLEAN,,Y,,,N,N,,,,,,,,,N,390,,,,,,0,no,Homonuclear NOEs,Check this box$ if you are depositing one or more sets of homonuclear NOE data. Do not check this box$ if the homonuclear NOE data are restraints used to calculate a structure.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Homonucl_NOEs,?,?,N,,Y,N,yes_no,,,,,Flag indicating that homonuclear NOE values are being deposited.,,N,,?,,,,,,,,?,?,?
400,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Dipole_dipole_relaxation,,,,,,Y,H,,M,,,N,,,,,,Dipole dipole relaxation,BOOLEAN,,Y,,,N,N,,,,,,,,,N,400,,,,,,0,no,Dipole-dipole relaxation data,If you are depositing dipole-dipole relaxation data$ check this box.,?,?,Y,Y,N,N,N,,,,?,I,O,,,,,I,I,,,,,no,5,Entry_interview,Dipole_dipole_relaxation,?,?,N,,Y,N,yes_no,,,,,Flag indicating that dipole-dipole relaxation values are being deposited.,,N,,?,,,,,,,,?,?,?
